"idade","internado","total"
"0","1","10"
"1","1","7"
"2","1","10"
"3","1","9"
"4","1","5"
"5","1","8"
"6","1","5"
"7","1","2"
"8","1","6"
"9","1","5"
"10","1","5"
"11","1","3"
"12","1","1"
"13","1","4"
"14","1","2"
"15","1","4"
"16","1","1"
"17","1","2"
"18","1","4"
"19","1","4"
"20","1","4"
"21","1","3"
"22","1","4"
"23","1","6"
"24","1","11"
"25","1","10"
"26","1","6"
"27","1","6"
"28","1","7"
"29","1","8"
"30","1","11"
"31","1","12"
"32","1","14"
"33","1","11"
"34","1","11"
"35","1","20"
"36","1","6"
"37","1","12"
"38","1","14"
"39","1","13"
"40","1","9"
"41","1","15"
"42","1","12"
"43","1","8"
"44","1","5"
"45","1","12"
"46","1","10"
"47","1","8"
"48","1","10"
"49","1","10"
"50","1","12"
"51","1","9"
"52","1","14"
"53","1","11"
"54","1","14"
"55","1","16"
"56","1","13"
"57","1","11"
"58","1","12"
"59","1","9"
"60","1","13"
"61","1","7"
"62","1","9"
"63","1","12"
"64","1","14"
"65","1","8"
"66","1","13"
"67","1","25"
"68","1","6"
"69","1","14"
"70","1","10"
"71","1","12"
"72","1","8"
"73","1","1"
"74","1","3"
"75","1","8"
"76","1","11"
"77","1","10"
"78","1","6"
"79","1","5"
"80","1","7"
"81","1","9"
"82","1","4"
"83","1","9"
"84","1","4"
"85","1","2"
"86","1","7"
"87","1","6"
"88","1","1"
"89","1","3"
"90","1","3"
"91","1","3"
"93","1","2"
"94","1","2"
"95","1","1"
"97","1","1"
