"Febre","Tosse","Dif_Respiratoria","Total"
"2","2","1","1129"
"1","1","1","1082"
"2","2","3","43"
"2","3","2","22"
"2",,"2","372"
"3",,"1","5"
"3","1","2","2"
,"6","3","2"
"3","3","2","10"
"2","9","2","23"
"2","9","9","11"
,"4","2","6664"
,"3","2","9820"
"5",,"2","259"
"6",,"2","262"
,"3","9","21"
"1","2","3","3"
,"2","9","12"
,"6","1","13"
"1","2","1","249"
,,"3","192"
"4",,"2","49"
,"4","9","15"
,"5","3","8"
"1","1","9","9"
"1","9","9","9"
"3","9","9","2"
"9","2","9","1"
"1","3","1","2"
,"4","3","1"
"2","1","2","6089"
"1","1","2","2123"
"9","9","1","2"
"2","3","3","3"
,"2","2","3921"
"3","3","1","1"
"3","2","1","2"
"4",,"1","1"
"2","2","9","18"
"9","2","2","8"
"2","1","3","3"
,,"1","2670"
"1",,"2","260"
,"6","2","1923"
"3",,"2","30"
,"1","1","16"
"1","1","3","5"
"2","1","9","4"
"1",,"1","2"
"1","3","2","1"
,"3","3","1"
"2","2","2","750810"
"1","2","2","2361"
"3","2","2","20"
"9","1","2","2"
"9","9","2","6"
,,"2","310121"
,"5","9","88"
"1","9","1","1"
"5",,"1","2"
"2",,"1","1"
"3","1","1","1"
"6",,"9","1"
"6",,"1","2"
,"6","9","4"
"2","1","1","789"
"3","3","3","391"
,"4","1","36"
,"1","2","1506"
,,"9","839"
,"5","1","309"
,"3","1","84"
,"1","9","4"
,"2","1","27"
"1","3","3","4"
"9","1","9","1"
"1","2","9","2"
"9","9","9","2506"
"3","1","3","3"
,"5","2","41893"
"4",,"3","2"
"9","2","1","2"
"3","2","3","2"
"1","9","2","1"
"9","1","1","1"
